,position
0,2.563777979332255
1,0.7510000296614506
2,0.3207585513465355
3,0.5664770952373872
4,0.08983432969592134
5,0.5341675179900308
6,0.1525522789847512
7,0.20570430124329803
8,0.28640697670027687
9,0.19618896908970715
10,0.887726189510016
11,0.04466590201865085
12,0.5469208170493325
13,0.2862776709601392
14,0.18697030324748287
15,0.34294807421142853
16,0.03700363658958114
17,1.2371663960275305
18,1.1698647163130418
19,1.45631445391651
20,2.375254722394253
21,0.05127558307146955
22,0.07983145914154668
23,0.08711815811210605
24,0.0797039332617363
25,0.10154433099834129
26,0.10854433302682565
27,0.8135321312037236
28,0.054477609874490476
29,0.25809574474992686
30,0.7009950873359976
31,0.5691952679255728
32,1.081571231552194
33,0.04361150096433223
34,0.4326016323006597
35,2.481420144521975
36,2.709723919944857
37,0.5931560667190499
38,0.5495483008257509
39,0.706069652003843
40,2.6576343558898294
41,1.4576996073202422
42,0.4821499965273963
43,0.28142449254884905
44,1.6170616055889044
45,5.042875679811824
46,2.933189654726056
47,0.1110640419055958
48,1.989176352055175
49,0.29163902846660383
50,0.4203715838667164
51,0.6311462246595434
52,1.1201550711754469
53,0.16943936805792156
54,0.11476732060967107
55,1.2359558541838875
56,0.9219424165366257
57,0.16054309195752087
58,0.16882681261723587
59,0.49748775636456805
60,0.3205221379244514
61,0.07948940567359206
62,0.8239681165827225
63,1.8180389360447105
64,2.9339662385064083
65,0.8925321786051221
66,1.321181338420892
67,0.005667342241400478
68,1.2852081253090086
69,0.21468803609879553
70,1.5347374657723483
71,0.7542438867910602
72,0.9253227141920481
73,0.015886101668443675
74,0.11524936381095742
75,0.3943636257021722
76,0.15807811060946375
77,0.8725862770077227
78,0.5357223716718101
79,1.5631602378665874
80,5.905595643318076
81,0.9774141431883392
82,2.4914165790165197
83,0.9508412280133088
84,1.4103731288617443
85,0.7231034713165388
86,1.9511260320859438
87,0.20268418084908443
88,0.20725574052437085
89,0.5152277319180755
90,0.8625118666627033
91,0.19396623273667654
92,1.2778887799190162
93,0.4823289826379498
94,1.3838749090674476
95,2.257786902774269
96,1.419780016055455
97,0.11105250771008843
98,0.2673224354835232
99,0.5284821064368753
100,3.5872042716178383
101,3.065772981681995
102,0.8243425816945604
103,0.2891077029248474
104,0.9682597919422438
105,0.25333045402764176
106,1.3030693811551604
107,0.8606234647245568
108,0.6146035684979142
109,1.4627706874665847
110,1.0645595620492354
111,2.3117299054996563
112,2.8570720779802583
113,1.0622605042281004
114,1.4895458765368328
115,1.7662382681150621
116,0.004183321913004745
117,1.9824766488365069
118,0.1870028099543827
